
#Measurement at Mon Apr 13 14:10:15 2015
#ID: 1428927015
#Counter	numDisp	windowSize	Disparity	Laser
0	64	9	10.012793	10.005
1	64	9	10.012793	10.006
2	96	9	8.909021	f
3	128	9	8.979728	9.40
4	128	9	8.839419	8.81

#Measurement at Mon Apr 13 14:24:15 2015
#ID: 1428927855
#Counter	numDisp	windowSize	Disparity	Laser
0	144	9	8.571558	8.40
1	144	9	7.857261	7.79
2	144	13	7.071535	7.19
3	112	7	6.465404	6.60
4	192	7	5.892946	5.99
5	192	7	5.362301	5.39
6	144	15	4.714357	4.79
7	144	15	4.144490	4.19
8	144	15	3.535768	3.59
9	144	15	2.946473	2.99
10	144	15	2.357178	2.39
11	144	15	1.767884	179
12	144	15	1.178589	1.19
13	144	15	0.584123	0.59
